key,fr,pt
This indicator refers to the proportion of out-of-facility service points who have mifepristone available as a commodity to provide abortion care.,Cet indicateur fait référence à la proportion de points de service hors établissement qui disposent de mifépristone comme produit pour fournir des soins d'avortement.,Este indicador refere-se à proporção de pontos de serviço fora das instalações que têm mifepristona disponível como insumo para fornecer cuidados de aborto.
This indicator refers to the proportion of out-of-facility service points who have other non-recommended products available to provide abortion care.,Cet indicateur fait référence à la proportion de points de service hors établissement qui disposent d'autres produits non recommandés pour fournir des soins d'avortement.,Este indicador refere-se à proporção de pontos de serviço fora das instalações que têm outros produtos não recomendados disponíveis para fornecer cuidados de aborto.
Misoprostol and mifepristone,Misoprostol et mifépristone,Misoprostol e mifepristona
Misoprostol only,Misoprostol seul,Somente misoprostol
Vacuum aspiration,Aspiration manuelle,Aspiração a vácuo
Dilation and evacuation,Dilatation et évacuation,Dilatação e evacuação
Dilation and curettage,Dilatation et curetage,Dilatação e curetagem
"Misoprostol and mifepristone, without a competent health worker","Misoprostol et mifépristone, sans personnel de santé compétent","Misoprostol e mifepristona, sem profissional de saúde competente"
"Misoprostol only, without a competent health worker","Misoprostol seul, sans personnel de santé compétent","Somente misoprostol, sem profissional de saúde competente"
"Vacuum aspiration, without a competent health worker","Aspiration manuelle, sans personnel de santé compétent","Aspiração a vácuo, sem profissional de saúde competente"
"Dilation and evacuation, without a competent health worker","Dilatation et évacuation, sans personnel de santé compétent","Dilatação e evacuação, sem profissional de saúde competente"
"Dilation and curettage, without a competent health worker","Dilatation et curetage, sans personnel de santé compétent","Dilatação e curetagem, sem profissional de saúde competente"
All other out-of-facility services,Tous les autres services hors établissement,Todos os outros serviços fora das instalações
New scenario,Nouveau scénario,Novo cenário
Welcome,Bienvenue,Bem-vindo
Using the Tool,Utilisation de l'outil,Usando a Ferramenta
Model Methodology,Méthodologie du modèle,Metodologia do Modelo
FAQ,FAQ,FAQ
Go to projects,Aller aux projets,Ir para projetos
No reports yet,Pas encore de rapports,Ainda sem relatórios
"Select a report...","Sélectionner un rapport...","Selecionar um relatório..."
Word,Word,Word
Create report,Créer un rapport,Criar relatório
No report selected,Aucun rapport sélectionné,Nenhum relatório selecionado
"Create a new report or select one from the dropdown","Créez un nouveau rapport ou sélectionnez-en un dans la liste","Crie um novo relatório ou selecione um na lista"
AI-Generated Content,Contenu généré par IA,Conteúdo Gerado por IA
"This report was generated using artificial intelligence. Please review all content for accuracy and verify any critical information.","Ce rapport a été généré par intelligence artificielle. Veuillez vérifier l'exactitude de tout le contenu et confirmer toute information critique.","Este relatório foi gerado usando inteligência artificial. Por favor, revise todo o conteúdo para precisão e verifique qualquer informação crítica."
"Created:","Créé :","Criado:"
"Updated:","Mis à jour :","Atualizado:"
System prompt,Prompt système,Prompt do sistema
Results text,Texte des résultats,Texto dos resultados
Copy,Copier,Copiar
Edit,Modifier,Editar
"Add custom context to include in all AI interactions","Ajouter un contexte personnalisé à inclure dans toutes les interactions IA","Adicionar contexto personalizado para incluir em todas as interações de IA"
No user context provided,Aucun contexte utilisateur fourni,Nenhum contexto do usuário fornecido
"Enter additional context for the AI assistant...","Entrez un contexte supplémentaire pour l'assistant IA...","Digite contexto adicional para o assistente de IA..."
Unknown,Inconnu,Desconhecido
Survey,Enquête,Pesquisa
Administrative,Administratif,Administrativo
Estimate,Estimation,Estimativa
Assumption,Hypothèse,Suposição
Literature,Littérature,Literatura
Expert opinion,Opinion d'expert,Opinião de especialista
Unclassified,Non classé,Não classificado
Strong evidence,Preuves solides,Evidência forte
Moderate evidence,Preuves modérées,Evidência moderada
Weak evidence,Preuves faibles,Evidência fraca
Non-recommended,Non recommandé,Não recomendado
Data source description,Description de la source de données,Descrição da fonte de dados
Data Sources,Sources de données,Fontes de Dados
Parameter category,Catégorie de paramètre,Categoria do parâmetro
Data source,Source de données,Fonte de dados
Source type,Type de source,Tipo de fonte
Evidence strength,Solidité des preuves,Força da evidência
"Data source:","Source de données :","Fonte de dados:"
"Source type:","Type de source :","Tipo de fonte:"
"Evidence strength:","Force des preuves :","Força da evidência:"
"Definition:","Définition :","Definição:"
Are you sure you want to delete this report?,Êtes-vous sûr de vouloir supprimer ce rapport?,Tem certeza de que deseja excluir este relatório?
Standard,Standard,Padrão
Summary,Résumé,Resumo
Full detail,Détail complet,Detalhe completo
Unintended pregnancies,Grossesses non désirées,Gravidezes não intencionais
Seek an induced abortion,Recours à l'avortement provoqué,Busca por aborto induzido
Do not seek an abortion,Ne recherche pas d'avortement,Não busca aborto
Abortion initiated in a facility,Avortement initié en établissement,Aborto iniciado em instalação
Abortion initiated out of a facility,Avortement initié hors établissement,Aborto iniciado fora de instalação
No access,Pas d'accès,Sem acesso
Safe,Sécurisé,Seguro
Less safe,Moins sécurisé,Menos seguro
Least safe,Le moins sécurisé,Menos seguro de todos
No abortion,Pas d'avortement,Sem aborto
Safe abortion,Avortement sécurisé,Aborto seguro
"Safe, less safe, and least safe abortions","Avortements sécurisés, moins sécurisés et les moins sécurisés","Abortos seguros, menos seguros e menos seguros de todos"
Less safe abortion,Avortement moins sécurisé,Aborto menos seguro
Least safe abortion,Avortement le moins sécurisé,Aborto menos seguro de todos
Abortion complication,Complication d'avortement,Complicação de aborto
Return to a state of non-pregnancy,Retour à un état de non-grossesse,Retorno ao estado de não gravidez
Effective post-abortion care,Soins post-avortement efficaces,Cuidados pós-aborto eficazes
No care or ineffective care,Pas de soins ou soins inefficaces,Sem cuidados ou cuidados ineficazes
All pregnancies,Toutes les grossesses,Todas as gravidezes
Intended pregnancies,Grossesses désirées,Gravidezes intencionais
Miscarriage,Fausse couche,Aborto espontâneo
Live birth,Naissance vivante,Nascimento vivo
Moderate complication,Complication modérée,Complicação moderada
Severe complication,Complication sévère,Complicação grave
No access or abortion,Pas d'accès ou d'avortement,Sem acesso ou aborto
Prefer facility-based care,Préfère les soins en établissement,Prefere cuidados em instalação
Prefer out-of-facility care,Préfère les soins hors établissement,Prefere cuidados fora de instalação
Legal access,Accès légal,Acesso legal
No legal access,Pas d'accès légal,Sem acesso legal
Geographic access,Accès géographique,Acesso geográfico
No geographic access,Pas d'accès géographique,Sem acesso geográfico
Financial access,Accès financier,Acesso financeiro
No financial access,Pas d'accès financier,Sem acesso financeiro
Service availability,Disponibilité des services,Disponibilidade de serviços
No service availability,Pas de disponibilité des services,Sem disponibilidade de serviços
Clear,Effacer,Limpar
AI Analysis Assistant,Assistant d'analyse IA,Assistente de Análise IA
Ask me to analyze your scenario results or create reports or add new scenarios.,Demandez-moi d'analyser vos résultats de scénarios ou de créer des rapports ou d'ajouter de nouveaux scénarios.,Peça-me para analisar os resultados dos seus cenários ou criar relatórios ou adicionar novos cenários.
Facility services,Services en établissement,Serviços em instalações
Out-of-facility services,Services hors établissement,Serviços fora de instalações
Complication rates,Taux de complications,Taxas de complicações
Service,Service,Serviço
Combo,Combo,Combinação
Moderate,Modérée,Moderada
Severe,Sévère,Grave
Incomplete abortion,Avortement incomplet,Aborto incompleto
Continuing pregnancy,Grossesse évolutive,Gravidez em curso
Infection,Infection,Infecção
Trauma,Traumatisme,Trauma
Hemorrhage,Hémorragie,Hemorragia
Other,Autre,Outro
All other out-of-facility services,Tous autres services hors établissement,Todos os outros serviços fora de instalações
SAFE,SÉCURISÉ,SEGURO
LESS SAFE,MOINS SÉCURISÉ,MENOS SEGURO
LEAST SAFE,LE MOINS SÉCURISÉ,MENOS SEGURO DE TODOS
MODERATE,MODÉRÉE,MODERADA
SEVERE,SÉVÈRE,GRAVE
STRONG EVIDENCE,PREUVES SOLIDES,EVIDÊNCIA FORTE
MODERATE EVIDENCE,PREUVES MODÉRÉES,EVIDÊNCIA MODERADA
WEAK EVIDENCE,PREUVES FAIBLES,EVIDÊNCIA FRACA
About,À propos,Sobre
Indicator,Indicateur,Indicador
Pregnancies,Grossesses,Gravidezes
All pregnancies,Toutes les grossesses,Todas as gravidezes
Intended pregnancies,Grossesses désirées,Gravidezes intencionais
Demand,Demande,Demanda
Access,Accès,Acesso
Service provision at facilities,Prestation de services en établissement,Prestação de serviços em instalações
Service provision at out-of-facility providers,Prestation de services hors établissement,Prestação de serviços fora de instalações
Abortion outcomes,Issues des avortements,Desfechos dos abortos
Abortions,Avortements,Abortos
Live births,Naissances vivantes,Nascimentos vivos
Miscarriages,Fausses couches,Abortos espontâneos
Total abortions,Total des avortements,Total de abortos
Abortion complications,Complications d'avortement,Complicações de aborto
Total abortion complications,Total des complications d'avortement,Total de complicações de aborto
Complication categories,Catégories de complications,Categorias de complicações
Total moderate complications,Total des complications modérées,Total de complicações moderadas
Total severe complications,Total des complications sévères,Total de complicações graves
No complications,Pas de complications,Sem complicações
Post-abortion care for abortion complications,Soins post-avortement pour complications,Cuidados pós-aborto para complicações
Pregnant women seeking an induced abortion,Femmes enceintes cherchant un avortement provoqué,Mulheres grávidas buscando aborto induzido
Rerouted from facility to out-of-facility,Réorientée de l'établissement vers hors établissement,Redirecionada de instalação para fora de instalação
No abortion after initiating in a facility,Pas d'avortement après avoir initié en établissement,Sem aborto após iniciar em instalação
No abortion after initiating out of a facility,Pas d'avortement après avoir initié hors établissement,Sem aborto após iniciar fora de instalação
Unknown error,Erreur inconnue,Erro desconhecido
Non-recommended,Non recommandé,Não recomendado
Change from the base case,Changement par rapport au scénario de référence,Mudança em relação ao caso base
Proportion of pregnancies resulting in contraindication,Proportion de grossesses avec contre-indication,Proporção de gravidezes com contraindicação
The proportion of all pregnancies that have medical contraindications requiring therapeutic abortion.,La proportion de toutes les grossesses présentant des contre-indications médicales nécessitant un avortement thérapeutique.,A proporção de todas as gravidezes que têm contraindicações médicas que requerem aborto terapêutico.
Abortion service provision at facilities,Prestation de services d'avortement en établissement,Prestação de serviços de aborto em instalações
Abortion service provision at out-of-facility providers,Prestation de services d'avortement hors établissement,Prestação de serviços de aborto fora de instalações
Receiving effective care,Recevant des soins efficaces,Recebendo cuidados eficazes
Not receiving effective care,Ne recevant pas de soins efficaces,Não recebendo cuidados eficazes
Total moderate complications needing care,Total des complications modérées nécessitant des soins,Total de complicações moderadas necessitando de cuidados
Total severe complications needing care,Total des complications sévères nécessitant des soins,Total de complicações graves necessitando de cuidados
Total complications needing care,Total des complications nécessitant des soins,Total de complicações necessitando de cuidados
Seek an induced abortion,Chercher un avortement provoqué,Buscar aborto induzido
Complications,Complications,Complicações
Total complications,Total des complications,Total de complicações
Moderate complications (total),Complications modérées (total),Complicações moderadas (total)
Severe complications (total),Complications sévères (total),Complicações graves (total)
Reset to original value,Réinitialiser à la valeur d'origine,Redefinir para valor original
CSV file is empty,Le fichier CSV est vide,Arquivo CSV está vazio
CSV must have a 'BASE' column,Le CSV doit avoir une colonne 'BASE',O CSV deve ter uma coluna 'BASE'
Invalid number value,Valeur numérique invalide,Valor numérico inválido
Invalid percentage value,Valeur de pourcentage invalide,Valor de porcentagem inválido
"You have not yet created any scenarios, so this report will concern the base case only.","Vous n'avez pas encore créé de scénarios, ce rapport concernera donc uniquement le cas de base.","Você ainda não criou nenhum cenário, então este relatório se referirá apenas ao caso base."
"e.g., Compare family planning outcomes across all scenarios","ex. Comparer les résultats de la planification familiale dans tous les scénarios","ex. Comparar os resultados de planejamento familiar em todos os cenários"
"e.g., Summarize the baseline abortion care pathways and outcomes","ex. Résumer les parcours de soins d'avortement et les résultats du cas de base","ex. Resumir as vias de cuidados de aborto e resultados do caso base"
"e.g., Add a section comparing safety outcomes, or change the tone to be more technical","ex. Ajouter une section comparant les résultats de sécurité, ou rendre le ton plus technique","ex. Adicionar uma seção comparando resultados de segurança, ou mudar o tom para mais técnico"
